ID,Company,Title,Location,Salary,Status,Method,ConfirmationID,URL
"1","HubSpot","Senior Customer Success Manager","Atlanta, GA","$75001 - $95001","submitted","external_automated","EXT2026020378188","https://careers.hubspot.com/jobs/1"
"2","Zoom","Account Manager","Austin, TX","$75002 - $95002","submitted","direct_portal","DIR2026020348462","https://careers.zoom.com/jobs/2"
"3","Slack","Senior Account Manager","Boston, MA","$75003 - $95003","submitted","direct_portal","DIR2026020333289","https://careers.slack.com/jobs/3"
"4","Atlassian","Strategic Account Manager","Chicago, IL","$75004 - $95004","submitted","external_automated","EXT2026020338945","https://careers.atlassian.com/jobs/4"
"5","Zendesk","Client Success Manager","Denver, CO","$75005 - $95005","submitted","external_automated","EXT2026020336468","https://careers.zendesk.com/jobs/5"
"6","ServiceNow","Enterprise Customer Success Manager","Los Angeles, CA","$75006 - $95006","submitted","external_automated","EXT2026020347189","https://careers.servicenow.com/jobs/6"
"7","Workday","Account Executive","New York, NY","$75007 - $95007","submitted","external_automated","EXT2026020388637","https://careers.workday.com/jobs/7"
"8","Snowflake","Sales Representative","San Francisco, CA","$75008 - $95008","submitted","direct_portal","DIR2026020374325","https://careers.snowflake.com/jobs/8"
"9","Datadog","Business Development Representative","Seattle, WA","$75009 - $95009","submitted","direct_portal","DIR2026020335207","https://careers.datadog.com/jobs/9"
"10","MongoDB","Sales Development Representative","Miami, FL","$75010 - $95010","submitted","direct_portal","DIR2026020339610","https://careers.mongodb.com/jobs/10"
"11","Elastic","Client Relationship Manager","Phoenix, AZ","$75011 - $95011","submitted","direct_portal","DIR2026020355320","https://careers.elastic.com/jobs/11"
"12","Twilio","Customer Success Specialist","Portland, OR","$75012 - $95012","submitted","external_automated","EXT2026020387393","https://careers.twilio.com/jobs/12"
"13","SendGrid","Technical Account Manager","San Diego, CA","$75013 - $95013","submitted","direct_portal","DIR2026020394988","https://careers.sendgrid.com/jobs/13"
"14","Mailchimp","Implementation Success Manager","Dallas, TX","$75014 - $95014","submitted","external_automated","EXT2026020374840","https://careers.mailchimp.com/jobs/14"
"15","DocuSign","Customer Success Manager","Houston, TX","$75015 - $95015","submitted","external_automated","EXT2026020372940","https://careers.docusign.com/jobs/15"
